qnumq;sexe;aget;matrim;pratique;enf;activite;prof;dipl;vote;habitat;localite;revenu;region;K1
3119;homme;40-49ans;En_couple;Rrelig_non;avecEnfant;actif;ouvrier;NOdip;ecolo_oui;individuel;Rurv;rev2;Mediterrannée;la nature nous touchée par l'homme
4287;homme;60ans+;En_couple;Rrelig_non;avecEnfant;inactif;retraite;prof;ecolo_non;individuel;Rurv;rev3;Bretagne;c'est le voisinage, la campagne, la verdure
3117;homme;20-29ans;En_couple;Rrelig_non;avecEnfant;actif;commerc;prof;ecolo_non;individuel;Bourg;rev2;Mediterrannée;le cadre de vie, les gens, les occupations, la nature
2250;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;cadre_lib;Supérieur;ecolo_oui;individuel;PGV;rev4;S_Ouest;les régions de france, les villes
4417;femme;60ans+;En_couple;Relig_regul;sansEnfant;inactif;retraite;Cep;ecolo_non;individuel;Bourg;rev1;Bretagne;c'est très bon, quand il n'y a pas d'environnement c'est le désert
4489;homme;60ans+;En_couple;Relig_occas;avecEnfant;actif;enseig_etud;Supérieur;ecolo_oui;individuel;Rurv;rev3;Bretagne;la nature, cadre de vie
5400;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;ouvrier;Cep;ecolo_oui;individuel;Bourg;rev2;Nord;beauté, paysage
5417;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;employe;prof;ecolo_non;individuel;Bourg;rev3;Nord;nature, bien être
3570;femme;50-59ans;En_couple;Relig_regul;avecEnfant;actif;employe;Bac;ecolo_oui;individuel;Bourg;rev4;Jura_Alpes;la nature
4462;homme;40-49ans;En_couple;Relig_regul;avecEnfant;actif;ouvrier;prof;ecolo_oui;individuel;Rurv;rev3;Bretagne;ce qui se trouve à l'extérieur de chez moi
1607;femme;40-49ans;En_couple;Relig_regul;avecEnfant;inactif;inactif;prof;ecolo_oui;individuel;Bourg;rev2;Nord;la nature, les gens
2015;femme;50-59ans;En_couple;Rrelig_non;avecEnfant;actif;ouvrier;Cep;ecolo_oui;individuel;GV;rev3;Nord;le voisinage, le paysage, le décor
4126;femme;50-59ans;En_couple;Relig_regul;avecEnfant;inactif;inactif;Cep;ecolo_non;individuel;Rurv;rev2;Bretagne;c'est ce qui m'entoure, les gens qui vivent autour, l'ambiance de la région
5349;femme;50-59ans;En_couple;Relig_occas;avecEnfant;inactif;retraite;prof;ecolo_oui;individuel;Bourg;RevNSP;Nord;forêt, rivières, animaux
2861;homme;40-49ans;En_couple;Relig_regul;avecEnfant;actif;cadre_lib;Supérieur;ecolo_oui;individuel;GV;rev4;Seine;nature, risque, préserver, ce qui nous entoure
2689;femme;40-49ans;En_couple;Relig_occas;avecEnfant;actif;commerc;prof;ecolo_oui;individuel;Bourg;rev3;Bretagne;les bois, la nature, la campagne
1939;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;employe;Bac;ecolo_oui;individuel;Ville;rev3;Nord;quelque chose agréable
931;femme;30-39ans;En_couple;Relig_regul;avecEnfant;actif;cadre_lib;Supérieur;ecolo_non;individuel;Ville;rev3;Mediterrannée;cadre de vie
2507;homme;60ans+;En_couple;Rrelig_non;avecEnfant;chomeur;inactif;Cep;ecolo_oui;collectif;Ville;rev2;Centre;la nature qu'il y a autour de chez nous
5469;femme;50-59ans;En_couple;Relig_occas;avecEnfant;inactif;inactif;NOdip;ecolo_oui;individuel;Bourg;rev2;Nord;nature
5719;femme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;Be;ecolo_oui;individuel;Rurv;rev2;Centre;la propreté, un paysage entretenu
1472;femme;20-29ans;Seul;Rrelig_non;sansEnfant;inactif;enseig_etud;Bac;ecolo_oui;individuel;PTGV;rev3;Jura_Alpes;protection de la nature
3792;homme;40-49ans;En_couple;Relig_occas;avecEnfant;actif;ouvrier;Cep;ecolo_non;individuel;Bourg;rev3;Nord;la nature, les animaux
1776;femme;20-29ans;En_couple;Rrelig_non;sansEnfant;chomeur;inactif;prof;ecolo_oui;individuel;Ville;rev2;Nord;la nature, la propreté
3313;femme;60ans+;Seul;Relig_regul;avecEnfant;inactif;retraite;NOdip;ecolo_oui;individuel;Bourg;rev1;Jura_Alpes;la nature, le paysage, les villages, les gens
4144;femme;50-59ans;En_couple;Relig_regul;avecEnfant;actif;agricult;NOdip;ecolo_oui;individuel;Rural;RevNSP;Bretagne;pollution
3004;homme;40-49ans;Seul;Rrelig_non;avecEnfant;actif;cadre_lib;Supérieur;ecolo_non;individuel;Rurv;rev3;Seine;verdure
4622;femme;30-39ans;En_couple;Rrelig_non;sansEnfant;inactif;inactif;NOdip;ecolo_non;individuel;Rurv;rev2;Nord;la campagne, la nature, les bois, la pollution des fleuves due aux usines
89;femme;60ans+;En_couple;Rrelig_non;sansEnfant;inactif;inactif;prof;ecolo_oui;collectif;TGV;rev3;Seine;qualité de vie, l'espace de vie
288;femme;40-49ans;Seul;Rrelig_non;sansEnfant;actif;prof_interm;prof;ecolo_non;individuel;PTGV;rev2;Seine;verdure, voisins, confort
199;femme;40-49ans;En_couple;Relig_occas;avecEnfant;actif;employe;Supérieur;ecolo_non;individuel;Ville;rev4;Seine;qualité de la vie
5577;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;enseig_etud;Supérieur;ecolo_oui;individuel;Rural;RevNSP;Centre;nature, écologie
2821;homme;20-29ans;Seul;Relig_regul;sansEnfant;inactif;enseig_etud;Bac;ecolo_non;individuel;GV;rev1;S_BassinParis;lieu de vie, écologie liée à la défense de l'environnement
959;femme;40-49ans;En_couple;Relig_regul;avecEnfant;inactif;inactif;Supérieur;ecolo_non;collectif;TGV;rev3;Mediterrannée;la nature, la campagne
5077;femme;20-29ans;Seul;Relig_occas;sansEnfant;actif;employe;prof;ecolo_non;individuel;Rural;rev1;S_Ouest;amis, là où on habite, nature
5241;femme;20-29ans;En_couple;Relig_occas;avecEnfant;actif;prof_interm;Bac;ecolo_non;individuel;Bourg;rev2;S_Ouest;le lieu où on vit, le cadre de vie, la société
5607;femme;40-49ans;En_couple;Relig_regul;avecEnfant;actif;enseig_etud;Supérieur;ecolo_oui;individuel;Bourg;RevNSP;Centre;nature, poubelles, odeurs, bruit
562;homme;20-29ans;Seul;Rrelig_non;sansEnfant;inactif;enseig_etud;Supérieur;ecolo_oui;collectif;TGV;rev2;Seine;écologie
1182;femme;30-39ans;En_couple;Relig_occas;avecEnfant;actif;ouvrier;Cep;ecolo_non;individuel;Ville;rev3;Jura_Alpes;rue, arbres, voitures, personnes
1392;homme;30-39ans;Seul;Rrelig_non;sansEnfant;inactif;inactif;NOdip;ecolo_non;individuel;Ville;rev2;Jura_Alpes;les jardins, la campagne
3375;femme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;Cep;ecolo_oui;individuel;Rurv;rev3;Jura_Alpes;la nature, le paysage
3403;femme;20-29ans;Seul;Relig_regul;sansEnfant;inactif;enseig_etud;Bac;ecolo_oui;individuel;Rurv;rev1;Jura_Alpes;nature, cadre de vie, habitation, l'air, circulation
2754;homme;40-49ans;En_couple;Rrelig_non;avecEnfant;actif;ouvrier;NOdip;ecolo_oui;individuel;Ville;rev2;Bretagne;la vie, la nature, on fait un peu plus attention, c'est un peu vague
3860;femme;40-49ans;En_couple;Relig_regul;avecEnfant;actif;employe;Be;ecolo_oui;individuel;Bourg;rev3;Nord;cadre de vie, ce qui nous entoure
3301;femme;50-59ans;En_couple;Rrelig_non;avecEnfant;actif;enseig_etud;Bac;ecolo_oui;individuel;Bourg;rev3;Jura_Alpes;la nature, la qualité des lieux fréquentés, la pollution
4013;homme;40-49ans;En_couple;Relig_occas;avecEnfant;actif;prof_interm;Cep;ecolo_oui;individuel;Bourg;rev3;Bretagne;cadre de vie, bien se sentir où on habite
4085;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;cadre_lib;Supérieur;ecolo_oui;individuel;Bourg;rev3;Bretagne;nature, professionnel, économique, social
3813;femme;20-29ans;En_couple;Relig_regul;avecEnfant;actif;enseig_etud;Supérieur;ecolo_oui;individuel;Bourg;rev3;Nord;la protection et la dégradation de l'environnement, ce qui concerne la nature, l'eau, le bruit, villes, villages, routes
2270;femme;50-59ans;En_couple;Relig_occas;avecEnfant;actif;employe;prof;ecolo_non;individuel;Bourg;rev2;S_Ouest;ce qu'il y a autour de chez moi
1772;homme;40-49ans;En_couple;Relig_occas;avecEnfant;actif;ouvrier;prof;ecolo_non;individuel;Bourg;rev3;Nord;la nature
3941;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;ouvrier;prof;ecolo_oui;individuel;Bourg;rev3;Bretagne;ce qui est autour de moi
3850;homme;20-29ans;Seul;Rrelig_non;sansEnfant;inactif;enseig_etud;Bac;ecolo_oui;individuel;Bourg;rev3;Nord;respect de la nature, problèmes de pollution, recyclage des déchets, population
4774;femme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;inactif;NOdip;ecolo_oui;individuel;Bourg;rev2;Seine;l'endroit où j'habite, les environs
1512;homme;20-29ans;Seul;Rrelig_non;sansEnfant;actif;ouvrier;prof;ecolo_oui;collectif;Bourg;rev2;S_BassinParis;secteur habitation, entourage
4038;femme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;retraite;Be;ecolo_non;individuel;Bourg;rev3;Bretagne;le respect de la nature
3396;homme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;prof;ecolo_oui;individuel;Rurv;rev2;Jura_Alpes;c'est le respect de la nature tout en vivant bien, le progrès actuel ne va pas dans le bon sens
4623;femme;40-49ans;En_couple;Rrelig_non;sansEnfant;actif;enseig_etud;Supérieur;ecolo_non;individuel;Bourg;rev4;Nord;la nature, les voisins, l'habitation, le bruit, l'air que l'on respire
2539;homme;40-49ans;En_couple;Rrelig_non;avecEnfant;actif;cadre_lib;Supérieur;ecolo_non;individuel;PGV;rev4;Centre;ce qui autour de l'habit
2892;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;ouvrier;Cep;ecolo_non;collectif;Ville;rev3;Seine;la façon dont on vit, ce qui nous entoure
5594;homme;60ans+;En_couple;Rrelig_non;avecEnfant;inactif;retraite;NOdip;ecolo_oui;individuel;Bourg;rev1;Centre;nuisances
2054;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;enseig_etud;Supérieur;ecolo_non;collectif;GV;rev3;Seine;c'est lécologie, les papiers et les sacs plastiques qui trainent, les mauvaises odeurs
5220;femme;60ans+;En_couple;Rrelig_non;avecEnfant;inactif;inactif;prof;ecolo_non;individuel;Rural;rev3;S_Ouest;ce qui entoure ma maison
3703;homme;40-49ans;En_couple;Rrelig_non;avecEnfant;inactif;retraite;prof;ecolo_oui;individuel;Bourg;rev2;Mediterrannée;la campagne, endroit où on vit, le calme, la propreté
1048;femme;60ans+;Seul;Rrelig_non;avecEnfant;inactif;retraite;NOdip;ecolo_oui;collectif;Ville;rev2;Mediterrannée;tout ce qui nous entoure, la nature, l'air, la ville
3363;femme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;Cep;ecolo_non;individuel;Bourg;rev2;Jura_Alpes;la nature
5627;femme;30-39ans;Seul;Rrelig_non;avecEnfant;actif;employe;prof;ecolo_oui;individuel;Bourg;rev2;Centre;nature, tissus social
285;homme;30-39ans;Seul;Relig_occas;sansEnfant;actif;cadre_lib;Supérieur;ecolo_non;individuel;PTGV;rev4;Seine;nature, montagne, mer
949;femme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;NOdip;ecolo_oui;collectif;TGV;rev3;Mediterrannée;les gens qui nous entourent
5298;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;agricult;prof;ecolo_non;individuel;Rural;rev3;S_Ouest;forêt, nature
3093;homme;40-49ans;En_couple;Relig_occas;avecEnfant;actif;ouvrier;Supérieur;ecolo_non;individuel;Bourg;rev3;Mediterrannée;l'oxygène, la tranquillité, les couleurs
4676;femme;20-29ans;En_couple;Rrelig_non;avecEnfant;actif;prof_interm;prof;ecolo_oui;individuel;Bourg;rev2;S_BassinParis;ce qui m'entoure
5750;femme;30-39ans;En_couple;Relig_occas;avecEnfant;actif;employe;prof;ecolo_oui;individuel;Bourg;rev3;Centre;nature
2860;femme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;Supérieur;ecolo_non;individuel;PGV;rev3;Seine;la campagne, propreté, bien vivre
1484;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;prof_interm;Supérieur;ecolo_non;collectif;PTGV;rev3;Jura_Alpes;le cadre de vie, les problèmes liés à la pollution de l'air et de l'eau
2506;femme;50-59ans;Seul;Relig_occas;avecEnfant;actif;employe;Be;ecolo_oui;collectif;Ville;rev2;Centre;qui m'environne, qui est autour de ma maison
3121;homme;40-49ans;En_couple;Rrelig_non;avecEnfant;actif;prof_interm;Supérieur;ecolo_non;individuel;Bourg;rev3;Mediterrannée;ce qui m'entoure et dont je subis l'influence
5105;homme;50-59ans;En_couple;Rrelig_non;avecEnfant;actif;enseig_etud;prof;ecolo_oui;individuel;Rural;rev3;S_Ouest;vivre avec la nature, vivre avec les inconvénients et les avantages de la vie moderne
2;homme;20-29ans;Seul;Rrelig_non;sansEnfant;inactif;enseig_etud;Supérieur;ecolo_oui;collectif;TGV;rev2;Seine;c'est tout, l'espace en général
4929;femme;50-59ans;En_couple;Relig_occas;avecEnfant;actif;employe;Cep;ecolo_non;individuel;Bourg;rev2;Seine;la nature, la forêt, les bois, les arbres, la propreté des lieux, le respect de la nature
2884;homme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;retraite;Be;ecolo_non;individuel;Ville;rev2;Seine;l'habitation, le lieu où l'on vit
3096;femme;40-49ans;En_couple;Relig_regul;avecEnfant;inactif;inactif;Be;ecolo_non;individuel;Bourg;rev3;Mediterrannée;la nature, l'espace
207;femme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;Supérieur;ecolo_non;collectif;PGV;rev3;Seine;l'atmosphère dans lequel je vis tous les jours
5523;femme;30-39ans;En_couple;Relig_occas;avecEnfant;actif;employe;prof;ecolo_oui;individuel;Bourg;rev3;Nord;la nature
274;homme;20-29ans;En_couple;Rrelig_non;sansEnfant;actif;prof_interm;Supérieur;ecolo_non;collectif;Ville;rev3;Seine;montagne, campagne, nature, flore, faune
2947;homme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;retraite;Cep;ecolo_non;individuel;Ville;rev2;S_BassinParis;la nature
4224;femme;40-49ans;En_couple;Rrelig_non;avecEnfant;actif;enseig_etud;Supérieur;ecolo_oui;individuel;Bourg;rev4;Bretagne;air pur
2337;femme;30-39ans;Seul;Rrelig_non;avecEnfant;inactif;inactif;prof;ecolo_oui;individuel;PTGV;rev2;S_Ouest;les gens
829;femme;60ans+;En_couple;Rrelig_non;avecEnfant;actif;employe;NOdip;ecolo_non;collectif;GV;rev2;Mediterrannée;la nature
2473;femme;30-39ans;Seul;Rrelig_non;avecEnfant;chomeur;inactif;prof;ecolo_non;collectif;Ville;rev2;Centre;c'est vaste, tout ce qui nous entoure, la campagne, les voitures, les humains, la ville
5141;homme;30-39ans;En_couple;Relig_occas;avecEnfant;actif;commerc;prof;ecolo_oui;individuel;Rurv;rev2;S_Ouest;la nature, les arbres, les oiseaux, l'endroit où je vis
2081;femme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;Cep;ecolo_non;individuel;GV;rev2;Seine;ce qui m'entoure
5769;femme;60ans+;En_couple;Rrelig_non;avecEnfant;inactif;inactif;Cep;ecolo_non;individuel;Rural;rev2;Centre;ce qui est autour de moi
2142;homme;20-29ans;Seul;Rrelig_non;sansEnfant;inactif;enseig_etud;Bac;ecolo_non;individuel;GV;rev3;Seine;protection de la nature, cadre de vie, pollution
1538;homme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;NOdip;ecolo_oui;individuel;Bourg;rev2;Nord;les changements intervenus dans mon village et les alentours
1731;femme;30-39ans;En_couple;Relig_occas;avecEnfant;chomeur;inactif;Bac;ecolo_oui;collectif;Ville;rev2;Nord;la nature
4181;homme;40-49ans;En_couple;Relig_occas;avecEnfant;actif;prof_interm;Cep;ecolo_non;individuel;Bourg;rev2;Bretagne;les alentours de votre logement, les rapports avec les personnes
130;homme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;retraite;Supérieur;ecolo_oui;collectif;TGV;rev3;Seine;d'abord l'habitat, l'extérieur, les rues, les jardins, l'animation des rues
5202;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;inactif;inactif;prof;ecolo_oui;individuel;Rurv;rev2;S_Ouest;la nature, surtout pas les maisons ni la ville
79;femme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;retraite;prof;ecolo_oui;collectif;TGV;rev3;Seine;mes petits enfants, l'avenir
2077;femme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;retraite;NOdip;ecolo_oui;collectif;Ville;rev2;Seine;entourage
2267;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;ouvrier;Bac;ecolo_oui;individuel;Rurv;rev2;S_Ouest;c'est la nature de toute façon, c'est aussi un rapport avec les voisins
4934;homme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;retraite;NOdip;ecolo_oui;individuel;Bourg;rev2;Seine;nature, espace vert
3037;femme;40-49ans;En_couple;Rrelig_non;avecEnfant;actif;cadre_lib;Bac;ecolo_non;individuel;Rurv;rev3;Seine;la nature
1650;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;ouvrier;prof;ecolo_oui;collectif;Ville;rev3;Nord;les espaces verts, la ville, les zones industrielles, les espaces verts, c'est tout ce qui nous entoure
3514;femme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;inactif;Be;ecolo_non;individuel;Bourg;rev3;Jura_Alpes;nature, bien être, santé, agréable
5738;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;enseig_etud;Supérieur;ecolo_oui;individuel;Bourg;rev3;Centre;sauvegarder la nature, la nature
5248;femme;60ans+;En_couple;Rrelig_non;avecEnfant;actif;enseig_etud;Supérieur;ecolo_non;individuel;Rural;rev4;S_Ouest;milieu de vie, qualité de vie
2310;femme;40-49ans;Seul;Relig_occas;sansEnfant;actif;employe;Bac;ecolo_oui;collectif;TGV;rev2;S_Ouest;pollution, couche d'ozone
2653;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;cadre_lib;Supérieur;ecolo_oui;individuel;Ville;rev3;Bretagne;le calme, le repos, la nature, l'équilibre
4300;homme;20-29ans;Seul;Relig_occas;sansEnfant;inactif;enseig_etud;prof;ecolo_non;individuel;Rurv;rev2;Bretagne;nature en général
5451;femme;40-49ans;En_couple;Rrelig_non;avecEnfant;actif;prof_interm;Supérieur;ecolo_non;individuel;Bourg;rev3;Nord;les forêts, la nature, les déchets
2761;femme;50-59ans;En_couple;Relig_occas;avecEnfant;inactif;inactif;prof;ecolo_oui;individuel;Ville;rev3;Bretagne;ce qui m'entoure
54;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;cadre_lib;Supérieur;ecolo_oui;collectif;TGV;rev4;Seine;une mauvaise définition du mot
2247;femme;60ans+;Seul;Rrelig_non;avecEnfant;actif;employe;prof;ecolo_oui;collectif;Ville;rev2;S_Ouest;la nature sous toutes ses formes, les arbres, l'eau, la mer, la montagne, le calme
2487;homme;40-49ans;En_couple;Relig_occas;sansEnfant;actif;prof_interm;Bac;ecolo_non;collectif;Ville;rev3;Centre;survie
4011;homme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;Cep;ecolo_non;individuel;Bourg;rev2;Bretagne;l'environnement personnel
395;homme;30-39ans;Seul;Rrelig_non;sansEnfant;actif;enseig_etud;Supérieur;ecolo_oui;collectif;PTGV;rev2;Seine;nature
899;femme;50-59ans;En_couple;Relig_occas;avecEnfant;actif;employe;Bac;ecolo_non;collectif;GV;rev3;Mediterrannée;tout ce qui nous entoure
3713;homme;50-59ans;Seul;Rrelig_non;sansEnfant;actif;commerc;prof;ecolo_oui;individuel;Bourg;rev2;Mediterrannée;conservation de la nature, propreté
2879;femme;50-59ans;En_couple;Rrelig_non;avecEnfant;actif;employe;prof;ecolo_non;individuel;Ville;rev2;Seine;nature, oiseaux
4752;femme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;NOdip;ecolo_oui;individuel;Rural;rev2;Seine;la nature, le voisinage
3009;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;ouvrier;Bac;ecolo_oui;individuel;Bourg;rev3;Seine;tout ce qui se trouve autour de nous quelque soit l'endroit où on se trouve
3245;femme;60ans+;En_couple;Relig_regul;avecEnfant;actif;agricult;Cep;ecolo_oui;individuel;Bourg;rev2;Jura_Alpes;pollution
2916;femme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;Cep;ecolo_non;individuel;Ville;rev2;S_BassinParis;la propreté dans les rues
1871;homme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;retraite;Supérieur;ecolo_non;individuel;PTGV;RevNSP;Nord;agréable
2254;femme;40-49ans;Seul;Relig_occas;avecEnfant;actif;prof_interm;Supérieur;ecolo_non;individuel;Ville;rev2;S_Ouest;la nature, la vie, la protection
3892;homme;40-49ans;En_couple;Rrelig_non;avecEnfant;actif;enseig_etud;Supérieur;ecolo_oui;individuel;Bourg;rev3;Nord;agréable
4276;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;prof_interm;Supérieur;ecolo_non;individuel;Rural;rev3;Bretagne;nature, lutte contre la pollution
4427;femme;60ans+;Seul;Rrelig_non;avecEnfant;inactif;retraite;Cep;ecolo_oui;individuel;Bourg;RevNSP;Bretagne;la campagne
5106;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;commerc;Be;ecolo_non;individuel;Rural;rev2;S_Ouest;calme, indépendance
1408;homme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;prof_interm;Supérieur;ecolo_oui;individuel;PTGV;rev3;Jura_Alpes;la nature en général
1646;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;employe;NOdip;ecolo_oui;individuel;Bourg;rev4;Nord;les espaces verts, les maisons, les gens, les magasins, tout
4250;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;employe;prof;ecolo_non;individuel;Rurv;rev3;Bretagne;la nature
710;homme;60ans+;En_couple;Rrelig_non;avecEnfant;inactif;retraite;NOdip;ecolo_non;individuel;Ville;rev2;Mediterrannée;la nature, propreté de la campagne, l'écologie
1918;femme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;retraite;prof;ecolo_non;individuel;Ville;rev3;Nord;espaces verts, fleuris, calme, un peu d'animation commerciale sans excès
4977;femme;20-29ans;Seul;Rrelig_non;sansEnfant;actif;employe;prof;ecolo_oui;individuel;Bourg;rev2;S_Ouest;les paysages
611;femme;40-49ans;En_couple;Relig_occas;avecEnfant;actif;cadre_lib;prof;ecolo_non;collectif;PTGV;rev4;Seine;ce qui existe autour de mon habitation et ce qui s'y passe, mon environnement professionnel, tout ce qui m'entoure
2017;femme;20-29ans;En_couple;Rrelig_non;sansEnfant;actif;employe;Supérieur;ecolo_oui;collectif;GV;rev3;Nord;la nature, l'air pur, la gaité, la bonne humeur
5468;homme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;Cep;ecolo_non;individuel;Bourg;rev2;Nord;nature
2561;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;enseig_etud;Supérieur;ecolo_oui;individuel;Bourg;rev3;Bretagne;espaces verts, bois, rivières
2274;femme;40-49ans;En_couple;Relig_occas;avecEnfant;inactif;inactif;Be;ecolo_oui;individuel;Rurv;rev2;S_Ouest;la nature
392;homme;40-49ans;En_couple;Relig_regul;avecEnfant;actif;ouvrier;prof;ecolo_oui;collectif;PTGV;rev3;Seine;campagne, tranquillité, absence de pollution
582;homme;60ans+;En_couple;Relig_occas;avecEnfant;actif;ouvrier;NOdip;ecolo_oui;collectif;PTGV;rev2;Seine;tout ce qui ce passe à l'extérieur du logement de l'enquêté
3515;homme;60ans+;En_couple;Relig_occas;avecEnfant;actif;ouvrier;NOdip;ecolo_non;individuel;Bourg;rev3;Jura_Alpes;nature, bien vivre
2915;homme;60ans+;En_couple;Rrelig_non;avecEnfant;inactif;retraite;Cep;ecolo_non;individuel;Ville;rev3;S_BassinParis;respect de la nature souci de chaque individu
4562;femme;60ans+;En_couple;Rrelig_non;avecEnfant;inactif;retraite;Bac;ecolo_oui;individuel;Ville;rev3;Bretagne;la nature attaquée et dégradée par toutes les pollutions industrielles et individuelles
683;femme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;inactif;Be;ecolo_non;individuel;Bourg;rev2;Mediterrannée;l'espace, les voisins, tout ce qui m'entoure
1042;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;inactif;inactif;prof;ecolo_non;individuel;Ville;rev3;Mediterrannée;les alentours d'où je vis
3994;femme;50-59ans;En_couple;Relig_occas;avecEnfant;inactif;inactif;NOdip;ecolo_non;individuel;Bourg;rev2;Bretagne;la nature, respecter certaines choses
